Cm;Curium;Ac;7;96;Gd;;Am;Bk
Db;Dubnium;7;5;105;Ta;;Rf;Sg
Lu;Lutetium;Ac;14;71;;Lr;Yb;Hf
Dy;Dysprosium;Ac;9;66;;Cf;Tb;Ho
Cn;Copernicium;7;12;112;Hg;;Rg;Nh
Yb;Ytterbium;Ac;13;70;;No;Tm;Lu
Ho;Holmium;Ac;10;67;;Es;Dy;Er
Tb;Terbium;Ac;8;65;;Bk;Gd;Dy
Bk;Berkelium;Ac;8;97;Tb;;Cm;Cf
Lr;Lawrencium;Ac;14;103;Lu;;No;Rf
Rf;Rutherfordium;7;4;104;Hf;;Lr;Db
Tm;Thulium;Ac;12;69;;Md;Er;Yb
Bh;Bohrium;7;7;107;Re;;Sg;Hs
Er;Erbium;Ac;11;68;;Fm;Ho;Tm
No;Nobelium;Ac;13;102;Yb;;Md;Lr
Fm;Fermium;Ac;11;100;Er;;Es;Md
Md;Mendelevium;Ac;12;101;Tm;;Fm;No
