Dy;dysprosium;Ac;9;66;;Cf;Tb;Ho
Cn;copernicium;7;12;112;Hg;;Rg;Nh
Yb;ytterbium;Ac;13;70;;No;Tm;Lu
Ho;holmium;Ac;10;67;;Es;Dy;Er
Tb;terbium;Ac;8;65;;Bk;Gd;Dy
Bk;berkélium;Ac;8;97;Tb;;Cm;Cf
Lr;lawrencium;Ac;14;103;Lu;;No;Rf
Rf;rutherfordium;7;4;104;Hf;;Lr;Db
Tm;thulium;Ac;12;69;;Md;Er;Yb
Bh;bohrium;7;7;107;Re;;Sg;Hs
Er;erbium;Ac;11;68;;Fm;Ho;Tm
No;nobélium;Ac;13;102;Yb;;Md;Lr
Fm;fermium;Ac;11;100;Er;;Es;Md
Md;mendelévium;Ac;12;101;Tm;;Fm;No
